195	165	52	135
196	165	52	216
195	167	53	23
195	164	54	80
197	164	54	195
197	167	53	54
197	164	54	135
196	167	51	187
195	166	52	105
197	167	52	229
195	166	53	59
196	165	54	15
196	164	52	227
195	167	51	2
195	164	51	35
197	166	52	207
197	166	51	17
197	165	54	92
196	167	54	119
197	164	55	174
197	166	52	213
197	165	54	24
196	167	55	37
195	166	51	73
195	166	55	160
197	164	54	240
195	164	53	125
196	166	54	53
197	164	55	66
195	166	52	21
196	167	53	48
196	166	53	69
195	165	53	118
196	164	51	2
195	166	53	223
197	166	54	80
195	165	52	7
196	165	54	169
196	165	53	142
195	166	53	224
195	166	55	15
197	166	53	151
195	167	54	180
195	165	53	32
197	164	51	214
197	167	54	48
196	166	55	30
196	164	52	189
196	165	55	107
196	165	51	57
196	165	55	210
195	167	55	218
195	167	53	226
195	165	52	229
195	164	55	1
195	167	53	148
196	166	52	69
196	166	55	161
195	165	52	133
196	167	51	148
197	165	52	221
196	164	54	123
197	165	53	212
195	164	52	123
196	166	53	25
196	164	52	157
195	166	52	203
196	165	53	100
196	166	51	198
195	165	51	219
195	165	53	1
196	165	54	252
196	167	55	246
197	167	52	47
197	166	53	22
197	167	53	107
195	164	54	217
197	167	51	253
197	166	55	246
197	166	55	248
197	166	53	155
195	166	51	92
195	164	54	69
195	166	52	194
195	164	54	146
196	166	52	209
197	166	52	212
196	166	52	8
197	167	55	211
197	164	51	169
196	167	52	141
195	166	55	224
196	167	52	12
197	165	52	66
195	166	54	252
196	165	55	70
195	164	55	78
196	167	53	137
196	164	51	207
196	164	53	152
195	167	52	253
196	167	54	218
197	165	53	57
197	166	51	197
195	164	51	9
195	165	52	33
197	166	53	194
195	165	51	86
195	166	54	121
197	165	55	222
197	165	53	31
197	165	51	207
196	165	52	29
195	164	55	59
196	164	53	123
197	164	52	76
195	166	51	204
197	164	53	228
195	167	53	118
195	167	54	177
195	166	53	32
196	165	51	228
196	166	54	145
197	167	51	34
195	164	51	149
197	165	53	10
195	167	52	121
195	164	55	86
195	165	55	189
197	164	54	24
196	164	54	95
197	166	51	189
197	164	52	100
196	166	51	251
195	164	52	88
197	166	54	8
195	166	53	117
195	164	53	182
196	165	54	202
197	164	52	139
196	164	54	50
197	166	54	159
197	165	55	132
195	166	51	66
197	167	55	177
195	164	55	228
196	164	55	185
195	167	53	41
197	167	54	11
195	166	51	230
197	166	51	100
197	166	51	12
196	164	51	167
196	166	55	206
196	165	51	123
195	166	53	181
197	165	51	32
196	165	55	238
195	167	55	236
197	164	51	118
196	164	51	21
197	164	53	162
197	167	54	126
197	166	54	30
196	164	54	137
197	165	52	187
195	164	51	74
195	164	52	206
195	166	55	223
197	166	51	3
196	167	53	90
197	165	54	46
197	164	52	221
197	165	54	79
195	167	52	179
196	165	55	87
197	167	53	65
196	167	51	245
195	164	53	77
195	165	51	46
196	167	55	151
196	166	52	172
195	167	54	185
197	165	54	9
197	164	51	173
197	166	51	187
195	165	54	75
196	166	52	5
197	165	53	208
196	167	52	197
196	164	55	162
195	164	53	86
195	165	52	223
195	167	53	39
197	167	55	189
196	164	55	167
197	166	51	58
195	166	54	207
197	167	52	90
196	164	52	120
197	167	53	199
197	166	54	218
196	165	55	17
197	164	51	143
195	167	53	76
197	164	52	183
195	165	51	166
196	166	54	15
196	166	55	13
196	167	55	68
197	167	51	61
196	165	55	71
197	165	52	19
197	164	52	84
196	167	54	44
195	164	51	35
195	164	53	27
196	166	51	17
196	165	54	244
195	164	52	72
196	167	52	170
196	166	51	179
